magnitude,tsunami,significance,num_stations,min_distance,rms,gap,depth,severe
3.83,0,226,17.0,0.469,0.75,252.0,81.0,0
5.0,0,385,67.0,1.426,0.45,65.0,54.695,0
4.0,0,246,60.0,0.836,0.55,200.0,21.943,0
7.6,1,965,272.0,3.158,0.62,12.0,116.0,1
6.2,0,591,74.0,28.267,0.75,69.0,10.0,0
4.0,0,246,14.0,3.243,0.88,162.0,121.675,0
4.2,0,271,20.0,0.759,0.62,84.0,173.267,0
5.2,0,416,164.0,7.673,0.69,31.0,35.288,1
3.72,0,213,15.0,1.0891,0.5,267.0,29.0,0
4.2,0,271,43.0,0.695,0.78,123.0,67.307,0
4.3,0,284,64.0,4.722,0.78,117.0,9.976,0
5.8,0,518,90.0,27.959,0.54,46.0,10.0,0
3.73,0,214,16.0,0.8919,0.39,240.0,24.0,0
3.8,0,222,69.0,0.382,0.61,184.0,46.371,0
2.4,0,89,9.0,0.3,0.2,126.0,4.1084,0
2.31,0,82,83.0,0.09466,0.21,30.0,4.61,0
6.0,0,564,108.0,2.377,0.73,22.0,203.0,0
4.4,0,298,36.0,2.52,0.44,70.0,386.842,0
2.2,0,74,17.0,0.0,0.3,61.0,7.7769,0
3.79,0,221,10.0,1.1094,0.26,303.0,54.0,0
3.0,0,138,37.0,1.064,0.54,65.0,0.0,0
5.2,0,416,67.0,1.866,1.04,88.0,45.383,0
6.2,0,719,146.0,8.189,0.64,22.0,112.0,1
3.2,0,158,40.0,0.239,0.46,181.0,179.013,0
2.0,0,62,11.0,0.1,0.2,80.0,8.0212,0
6.0,0,557,128.0,0.371,0.89,22.0,151.0,0
7.2,1,879,144.0,2.494,1.38,40.0,236.0,1
5.8,0,518,50.0,3.046,0.94,113.0,10.0,0
7.1,1,1077,139.0,2.377,0.72,22.0,500.0,1
7.8,0,2910,266.0,0.165,0.66,17.0,10.0,1
1.7,0,44,23.0,0.0,0.2,67.0,6.0287,0
3.6,0,199,26.0,0.342,0.57,215.0,35.0,0
2.3,0,81,30.0,0.1,0.1,51.0,7.417,0
4.9,0,369,84.0,4.757,1.25,98.0,35.0,0
5.3,0,432,39.0,7.413,0.53,56.0,10.0,0
1.09,0,18,22.0,0.002897,0.02,43.0,1.73,0
3.2,0,158,23.0,0.674,0.9,208.0,19.811,0
3.52,0,191,11.0,0.6471,0.48,293.0,13.0,0
5.2,0,416,111.0,7.331,0.54,70.0,10.0,1
